job_id,lineage_id,family,arrangement,pair_id,pair_class,site_a,site_b,native_key_a,native_key_b,intended_weld,screen_hit,screen_min_midpoint_ang,mean_k,reactive_pct
6fc87681f9de,24hb_0xT,24hb,0-0,D005:15~D00K:14,native_native_near_insert,D005:15,D00K:14,"('h_XY_2_3', 70, 'FORWARD')","('h_XY_2_3', 69, 'FORWARD')",False,True,3.7636146053730086,0.4506709769003451,60.0
6fc87681f9de,24hb_0xT,24hb,0-0,D015:15~D01P:42,native_native_near_insert,D015:15,D01P:42,"('h_XY_2_5', 14, 'FORWARD')","('h_XY_2_5', 13, 'FORWARD')",False,True,3.4623741354826816,0.42404737498296824,83.33333333333334
6fc87681f9de,24hb_0xT,24hb,0-0,D010:29~D01O:28,native_native_near_insert,D010:29,D01O:28,"('h_XY_1_4', 35, 'FORWARD')","('h_XY_1_4', 34, 'FORWARD')",False,True,3.538275201097603,0.4141740122456205,93.33333333333333
6fc87681f9de,24hb_0xT,24hb,0-0,D005:7~D00V:22,native_native_near_insert,D005:7,D00V:22,"('h_XY_1_2', 76, 'FORWARD')","('h_XY_1_2', 77, 'FORWARD')",False,True,3.7383016605198214,0.40604522836834156,80.0
6fc87681f9de,24hb_0xT,24hb,0-0,D016:8~D01D:28,native_native_near_insert,D016:8,D01D:28,"('h_XY_3_5', 41, 'REVERSE')","('h_XY_3_5', 42, 'REVERSE')",False,True,3.536359032199368,0.39988736351773235,80.0
6fc87681f9de,24hb_0xT,24hb,0-0,D00F:28~D021:29,native_native_near_insert,D00F:28,D021:29,"('h_XY_0_1', 104, 'FORWARD')","('h_XY_0_1', 105, 'FORWARD')",False,True,3.6451159534684665,0.3968980103094565,80.0
6fc87681f9de,24hb_0xT,24hb,0-0,D00L:14~D00P:22,native_native_near_insert,D00L:14,D00P:22,"('h_XY_2_4', 49, 'REVERSE')","('h_XY_2_4', 48, 'REVERSE')",False,True,3.5039484647270567,0.3938132933253676,83.33333333333334
6fc87681f9de,24hb_0xT,24hb,0-0,D012:42~D01S:15,native_native_near_insert,D012:42,D01S:15,"('h_XY_1_5', 98, 'REVERSE')","('h_XY_1_5', 97, 'REVERSE')",False,True,3.6928516229426163,0.3874831375961418,70.0
6fc87681f9de,24hb_0xT,24hb,0-0,D00A:21~D017:29,native_native_near_insert,D00A:21,D017:29,"('h_XY_1_6', 76, 'FORWARD')","('h_XY_1_6', 77, 'FORWARD')",False,True,3.4009956448082828,0.3623603924642429,86.66666666666667
6fc87681f9de,24hb_0xT,24hb,0-0,D00J:7~D023:8,native_native_near_insert,D00J:7,D023:8,"('h_XY_2_0', 14, 'REVERSE')","('h_XY_2_0', 13, 'REVERSE')",False,True,3.467413763531293,0.36175968169046974,93.33333333333333
6fc87681f9de,24hb_0xT,24hb,0-0,D00B:7~D01S:22,native_native_near_insert,D00B:7,D01S:22,"('h_XY_1_6', 90, 'FORWARD')","('h_XY_1_6', 91, 'FORWARD')",False,True,3.731324683384516,0.36076368053660063,83.33333333333334
6fc87681f9de,24hb_0xT,24hb,0-0,D019:15~D01L:42,native_native_near_insert,D019:15,D01L:42,"('h_XY_2_5', 119, 'FORWARD')","('h_XY_2_5', 118, 'FORWARD')",False,True,3.5152329332892593,0.3518178710172097,86.66666666666667
